gvkey,datadate,conm,rdq,atq,cshoq,cik,ticker
006104,20200331,INTL PAPER CO,20200430,33215.0000,392.8000,0000051434,IP
006136,20200331,INTERPUBLIC GROUP OF COS,20200422,16428.9000,389.5000,0000051644,IPG
006266,20200331,JOHNSON & JOHNSON,20200414,155017.0000,2632.3920,0000200406,JNJ
006310,20200331,KINDER MORGAN INC,20200422,73530.0000,2261.4260,0001506307,KMI
006335,20200331,KANSAS CITY SOUTHERN,20200417,9765.7000,95.0150,0000054480,KSU
006338,20200331,EVERGY INC,20200506,26184.7000,226.7390,0001711269,KAN
006375,20200331,KELLOGG CO,20200430,18240.0000,342.6700,0000055067,K
006435,20200331,KIMBERLY-CLARK CORP,20200422,15677.0000,340.8360,0000055785,KMB
006649,20200331,LEGGETT & PLATT INC,20200504,4982.0000,132.3000,0000058492,LEG
006730,20200331,LILLY (ELI) & CO,20200423,41102.8000,906.4420,0000059478,LLY
006742,20200331,LINCOLN NATIONAL CORP,20200506,318649.0000,193.2080,0000059558,LNC
006774,20200331,LOCKHEED MARTIN CORP,20200421,49248.0000,279.0000,0000936468,LK
006781,20200331,LOEWS CORP,20200504,79254.0000,281.4300,0000060086,LTR
007017,20200331,MARATHON OIL CORP,20200506,19715.0000,791.0000,0000101778,MRO1
007063,20200331,HOST HOTELS & RESORTS INC,20200507,13446.0000,704.9000,0001070750,HMT1
007065,20200331,MARSH & MCLENNAN COS,20200430,31391.0000,505.9470,0000062709,MMC
007085,20200331,MASCO CORP,20200429,4840.0000,262.6000,0000062996,MAS
007154,20200331,MCDONALD'S CORP,20200430,50568.0000,743.5560,0000063908,MCD
007163,20200331,S&P GLOBAL INC,20200428,10463.0000,240.9000,0000064040,MHP
007241,20200331,CVS HEALTH CORP,20200506,230639.0000,1305.0000,0000064803,MES
007257,20200331,MERCK & CO,20200428,84913.0000,2524.0140,0000310158,MRK
007366,20200331,ENTERGY CORP,20200511,52555.0290,200.1610,0000065984,MSU
007435,20200331,3M CO,20200428,46212.0000,575.1960,0000066740,MMM
007585,20200331,MOTOROLA SOLUTIONS INC,20200507,10716.0000,170.0000,0000068505,MOT
007637,20200331,VIATRIS INC,20200511,30145.9000,516.9440,0001792044,MYLN
007647,20200331,BANK OF AMERICA CORP,20200415,2619954.0000,8675.4870,0000070858,NCB
007875,20200331,NEWELL BRANDS INC,20200501,13903.0000,424.1000,0000814453,NWL
007881,20200331,NEWMONT CORP,20200505,39699.0000,802.0000,0001164727,NEM
007912,20200331,NOBLE ENERGY INC,20200508,17458.0000,485.0000,0000072207,NBL
007923,20200331,NORFOLK SOUTHERN CORP,20200429,37438.0000,256.1790,0000702165,NSC
007970,20200331,EVERSOURCE ENERGY,20200506,41648.9860,336.4110,0000072741,NU
007974,20200331,NISOURCE INC,20200506,22592.7000,382.6940,0001111711,NI
007977,20200331,XCEL ENERGY INC,20200507,51133.0000,525.0340,0000072903,NSP
007982,20200331,NORTHERN TRUST CORP,20200421,161709.2000,208.0520,0000073124,NTRS
007985,20200331,NORTHROP GRUMMAN CORP,20200429,43203.0000,167.0990,0001133421,NOC
008007,20200331,WELLS FARGO & CO,20200414,1981349.0000,4096.4100,0000072971,NOB
008030,20200331,NUCOR CORP,20200428,17866.0610,301.1350,0000073309,NUE
008068,20200331,OCCIDENTAL PETROLEUM CORP,20200505,101643.0000,900.0150,0000797468,OXY
008099,20200331,FIRSTENERGY CORP,20200423,42090.0000,541.7540,0001031296,OEC
008151,20200331,ONEOK INC,20200428,21969.4400,413.8830,0001039684,OKE
008245,20200331,PNC FINANCIAL SVCS GROUP INC,20200415,445493.0000,424.0000,0000713676,PNCF
008247,20200331,PPG INDUSTRIES INC,20200427,18064.0000,235.9230,0000079879,PPG
008253,20200331,PACCAR INC,20200421,27294.7000,345.7000,0000075362,PCAR
008272,20200331,SEMPRA ENERGY,20200504,68293.0000,292.0000,0001032208,SDO
008455,20200331,PPL CORP,20200508,46328.0000,768.2660,0000922224,PPL
008463,20200331,PENTAIR PLC,20200430,4426.7000,165.7250,0000077360,PNTA
008479,20200331,PEPSICO INC,20200428,85062.0000,1389.0000,0000077476,PEP
008530,20200331,PFIZER INC,20200428,166336.0000,5552.0000,0000078003,PFE
008539,20200331,EXELON CORP,20200508,124677.0000,974.4080,0001109357,PE
008543,20200331,ALTRIA GROUP INC,20200430,52618.0000,1858.3680,0000764180,MO
008549,20200331,CONOCOPHILLIPS,20200430,65033.0000,1072.4250,0001163165,P
008810,20200331,PUBLIC SERVICE ENTRP GRP INC,20200504,48365.0000,504.0000,0000788784,PEG
008823,20200331,PULTEGROUP INC,20200423,11423.3740,277.2560,0000822416,PHM
009225,20200331,ROLLINS INC,20200429,1771.4790,327.7670,0000084839,ROL
009465,20200331,SCHLUMBERGER LTD,20200417,48594.0000,1387.8130,0000087347,SLB
009555,20200331,SEALED AIR CORP,20200505,5671.0000,155.6590,0001012100,SEE
009667,20200331,SHERWIN-WILLIAMS CO,20200429,20570.3000,90.8000,0000089800,SHW
009771,20200331,SMITH (A.O.),20200505,2983.0000,161.1400,0000091142,SMC
009778,20200331,SNAP-ON INC,20200421,5564.3000,54.3390,0000091440,SNA
009783,20200331,KEYCORP,20200416,156197.0000,975.3190,0000091576,KEY
009846,20200331,EDISON INTERNATIONAL,20200430,66026.0000,363.4760,0000827052,SCE
009850,20200331,SOUTHERN CO,20200430,118852.0000,1056.0000,0000092122,SO
009882,20200331,SOUTHWEST AIRLINES,20200428,26885.0000,508.7690,0000092380,LUV
009899,20200331,AT&T INC,20200422,545354.0000,7125.2160,0000732717,SBC
010016,20200331,STANLEY BLACK & DECKER INC,20200430,22905.0000,154.1270,0000093556,SWK
010035,20200331,STATE STREET CORP,20200417,362527.0000,351.9440,0000093751,STBK
010096,20200331,PUBLIC STORAGE,20200430,11825.9210,174.4750,0001393311,SEQ
010115,20200331,STRYKER CORP,20200430,29440.0000,375.3780,0000310764,STRY
010407,20200331,TELEFLEX INC,20200430,6701.5640,46.4200,0000096943,TFX
010499,20200331,TEXAS INSTRUMENTS INC,20200421,17283.0000,921.4810,0000097476,TXN
010519,20200331,TEXTRON INC,20200430,15946.0000,227.3790,0000217346,TXT
010530,20200331,THERMO FISHER SCIENTIFIC INC,20200422,58688.0000,394.9510,0000097745,TMO
010614,20200331,GLOBE LIFE INC,20200422,25351.9140,106.4340,0000320335,TMK
010795,20200331,UNITED AIRLINES HOLDINGS INC,20200430,53055.0000,247.2570,0000100517,UAL
010860,20200331,AMEREN CORP,20200511,29272.0000,246.9000,0001002910,UEP
010867,20200331,UNION PACIFIC CORP,20200423,62216.0000,678.5590,0000100885,UNP
010894,20200331,UDR INC,20200506,9691.1050,294.8810,0000074208,UDRT
010903,20200331,UNITEDHEALTH GROUP INC,20200415,189067.0000,947.0000,0000731766,UNIH
010920,20200331,UNITED PARCEL SERVICE INC,20200428,60895.0000,860.6000,0001090727,UPS
010983,20200331,RAYTHEON TECHNOLOGIES CORP,20200507,139572.0000,866.1610,0000101829,UTX
011032,20200331,UNIVERSAL HEALTH SVCS INC,20200427,11620.4260,84.9260,0000352915,UHSI
011220,20200331,VORNADO REALTY TRUST,20200504,18209.6590,191.1160,0000899689,VNO
011228,20200331,VULCAN MATERIALS CO,20200506,10629.3820,132.4330,0001396009,VMC
011456,20200331,WEYERHAEUSER CO,20200501,17228.0000,746.2060,0000106535,WY
011465,20200331,WHIRLPOOL CORP,20200430,19395.0000,62.0000,0000106640,WHR
011506,20200331,WILLIAMS COS INC,20200504,44629.0000,1213.0000,0000107263,WMB
011550,20200331,WEC ENERGY GROUP INC,20200504,34832.2000,315.4350,0000783325,WPC
011554,20200331,ALLIANT ENERGY CORP,20200507,16879.0000,249.5040,0000352541,WPL
011636,20200331,XEROX HOLDINGS CORP,20200428,14784.0000,212.8310,0001770450,XRX
011687,20200331,ZIONS BANCORPORATION NA,20200420,71467.0000,163.8520,0000109380,ZION
011856,20200331,TRUIST FINANCIAL CORP,20200420,506229.0000,1347.4610,0000092230,SNAT
012124,20200331,MORGAN STANLEY,20200416,947795.0000,1575.5010,0000895421,DWD
012138,20200331,PRICE (T. ROWE) GROUP,20200428,8636.9000,227.9850,0001113169,PTRW
012389,20200331,HARLEY-DAVIDSON INC,20200428,11139.9470,153.1730,0000793952,HDI
012441,20200331,GARTNER INC,20200507,6800.3460,89.2940,0000749251,GART
012459,20200331,NVR INC,20200423,3887.5230,3.6740,0000906163,RYN
012635,20200331,FISERV INC,20200507,72598.0000,674.0000,0000798354,FISV
012726,20200331,UNUM GROUP,20200504,65335.9000,203.3250,0000005513,UNM
012850,20200331,CERNER CORP,20200428,6736.4300,304.2590,0000804753,CERN
013125,20200331,HEALTHPEAK PROPERTIES INC,20200505,16072.6790,538.1350,0000765880,HCP
013341,20200331,PROGRESSIVE CORP-OHIO,20200415,56265.2000,585.2980,0000080661,PROG
013421,20200331,CADENCE DESIGN SYSTEMS INC,20200420,3767.9730,279.1870,0000813672,ECAD
013510,20200331,DUKE REALTY CORP,20200429,8574.2840,368.3800,0000783280,DRE
013700,20200331,DENTSPLY SIRONA INC,20200508,8058.4000,219.1000,0000818479,XRAY
013714,20200331,PARAMOUNT GLOBAL,20200507,49045.0000,615.0000,0000813828,VIA
013721,20200331,ZOETIS INC,20200506,11528.0000,474.8650,0001555280,ZOTS
013988,20200331,SCHWAB (CHARLES) CORP,20200415,370779.0000,1287.3210,0000316709,SCH
014225,20200331,FASTENAL CO,20200414,3934.7000,572.8180,0000815556,FAST
014275,20200331,FIRST REPUBLIC BANK,20200414,123914.9290,171.3950,0001132979,FRCA
014282,20200331,AMPHENOL CORP,20200422,12077.7000,295.9000,0000820313,APH1
014359,20200331,PIONEER NATURAL RESOURCES CO,20200506,19051.0000,164.8640,0001038357,PDP
014418,20200331,MGM RESORTS INTERNATIONAL,20200430,39118.9050,493.1550,0000789570,MGMG
014477,20200331,WASTE MANAGEMENT INC,20200506,27178.0000,421.9950,0000823768,USAS
014590,20200331,FREEPORT-MCMORAN INC,20200424,40219.0000,1452.0000,0000831259,FCX
014822,20200331,BERKLEY (W R) CORP,20200421,26089.9290,179.8370,0000011544,BKLY
014824,20200331,CINCINNATI FINANCIAL CORP,20200427,23367.0000,160.8000,0000020286,CINF
014934,20200331,DEVON ENERGY CORP,20200505,11144.0000,383.0000,0001090012,DVN
014960,20200331,LABORATORY CP OF AMER HLDGS,20200429,17298.4000,97.1000,0000920148,NHLI
015247,20200331,VALERO ENERGY CORP,20200429,47747.0000,409.2920,0001035002,VLO
015267,20200331,IDEX CORP,20200423,3943.6770,75.3150,0000832101,IEX
016101,20200331,ABBVIE INC,20200501,91199.0000,1476.6750,0001551152,ABBV
016245,20200331,PEOPLE'S UNITED FINL INC,20200423,60433.3000,418.6300,0001378946,PBCT
016478,20200331,EOG RESOURCES INC,20200507,37634.0840,582.0370,0000821189,EOG
017120,20200331,SVB FINANCIAL GROUP,20200423,75009.6400,51.4900,0000719739,SIVB
017874,20200331,T-MOBILE US INC,20200506,87226.0000,861.1280,0001283699,MPCS
017928,20200331,IQVIA HOLDINGS INC,20200428,23078.0000,191.0000,0001478242,QQUN
018872,20200331,TWITTER INC,20200430,13540.7250,784.1000,0001418091,TWEE
020116,20200331,PAYCOM SOFTWARE INC,20200428,2309.7250,57.6220,0001590955,003H
020548,20200331,COTERRA ENERGY INC,20200430,4522.1750,398.5760,0000858470,COG1
020686,20200331,SYNCHRONY FINANCIAL,20200421,98038.0000,583.2330,0001601712,SYF
020748,20200331,ARISTA NETWORKS INC,20200505,4111.8450,75.6550,0001596532,004W
021825,20200331,CITIZENS FINANCIAL GROUP INC,20200417,176719.0000,426.5870,0000759944,CFG
022260,20200331,HCA HEALTHCARE INC,20200421,45421.0000,337.6080,0000860730,HCAZ
023812,20200331,REGENERON PHARMACEUTICALS,20200505,15757.5000,112.1910,0000872589,REGN
024197,20200331,IDEXX LABS INC,20200430,1886.2450,84.9290,0000874716,IDXX
024216,20200331,AES CORP (THE),20200507,34142.0000,664.9070,0000874761,AESC
024316,20200331,MONSTER BEVERAGE CORP,20200507,4881.4970,526.8390,0000865752,HANS
024344,20200331,VERTEX PHARMACEUTICALS INC,20200429,8893.2010,259.0790,0000875320,VRT1
024405,20200331,ZEBRA TECHNOLOGIES CP  -CL A,20200428,4540.0000,53.0660,0000877212,ZBRA
024468,20200331,BIOGEN INC,20200422,26119.2000,167.3000,0000875045,IDPH
024616,20200331,PAYPAL HOLDINGS INC,20200506,54266.0000,1173.0000,0001633917,PYPLV
024617,20200331,OLD DOMINION FREIGHT,20200423,3934.9860,118.1340,0000878927,ODFL
024731,20200331,KIMCO REALTY CORP,20200508,11305.1340,432.5250,0000879101,KIM
024782,20200331,PERRIGO CO PLC,20200430,11400.7000,136.3000,0001585364,PRGO
024856,20200331,GILEAD SCIENCES INC,20200430,59741.0000,1254.0000,0000882095,GIL1
024925,20200331,ROPER TECHNOLOGIES INC,20200428,18137.8000,104.3970,0000882835,ROPR
025119,20200331,MOHAWK INDUSTRIES INC,20200504,13256.9420,71.1850,0000851968,MOHK
025124,20200331,LINDE PLC,20200507,84369.0000,525.1680,0001707925,PX1
025279,20200331,BOSTON SCIENTIFIC CORP,20200429,30113.0000,1399.3110,0000885725,BSX
026590,20200331,FORTIVE CORP,20200430,16931.7000,336.8000,0001659166,FTVWI
027845,20200331,ALLERGAN PLC,20200507,88426.2000,329.7000,0001578845,WATS
027914,20200331,HUMANA INC,20200429,34633.0000,132.2060,0000049071,HUM
028034,20200331,CHUBB LTD,20200421,173127.0000,451.3680,0000896159,ACL1
028180,20200331,O'REILLY AUTOMOTIVE INC,20200422,11108.8620,74.1990,0000898173,ORLY
028191,20200331,ROYAL CARIBBEAN GROUP,20200513,33445.0530,209.3680,0000884887,RCL
028192,20200331,HOWMET AEROSPACE INC,20200505,18465.0000,436.0860,0000004281,AA
028320,20200331,CDW CORP,20200506,8222.4000,142.3000,0001402057,CDW
028349,20200331,ALLSTATE CORP,20200505,116107.0000,315.4860,0000899051,ALL1
028477,20200331,FLIR SYSTEMS INC,20200506,3122.2370,130.3710,0000354908,FLIR
028733,20200331,EQUITY RESIDENTIAL,20200505,20919.3180,372.1040,0000906107,EQR
028742,20200331,BORGWARNER INC,20200506,9502.0000,207.3100,0000908255,BWA
028930,20200331,MARRIOTT INTL INC,20200511,25549.0000,324.2000,0001048286,MHS
029099,20200331,REGENCY CENTERS CORP,20200507,11568.3110,169.1710,0000910606,REG
029127,20200331,INCYTE CORP,20200505,2752.4220,216.9520,0000879169,IPI
029389,20200331,SIMON PROPERTY GROUP INC,20200511,34121.1140,305.7550,0001063761,SPPG
029392,20200331,EASTMAN CHEMICAL CO,20200430,16465.0000,135.8430,0000915389,EMN
029649,20200331,MID-AMERICA APT CMNTYS INC,20200506,11155.9770,114.2800,0000912595,MAA
029733,20200331,MARTIN MARIETTA MATERIALS,20200505,10503.4000,62.2000,0000916076,MLM
029736,20200331,TRACTOR SUPPLY CO,20200423,6002.4050,115.5920,0000916365,TSCO
029751,20200331,ALBEMARLE CORP,20200506,9847.6380,106.3190,0000915913,ALB1
029875,20200331,AVALONBAY COMMUNITIES INC,20200506,19891.3360,140.7330,0000915912,AVN
029984,20200331,PROLOGIS INC,20200421,55007.2470,738.5630,0001045609,AMBP
030098,20200331,INGERSOLL RAND INC,20200512,15358.3000,416.5590,0001699150,GDI
030293,20200331,ESSEX PROPERTY TRUST,20200506,13450.8410,65.4120,0000920522,ESS
030490,20200331,APARTMENT INVST & MGMT CO,20200507,7048.2450,148.7000,0000922864,AIV
030822,20200331,REALTY INCOME CORP,20200504,18796.4420,343.4020,0000726728,RLTY
030923,20200331,TECHNIPFMC PLC,20200422,19927.6000,448.3000,0001681459,FTI
030990,20200331,CAPITAL ONE FINANCIAL CORP,20200423,396878.0000,455.3100,0000927628,COF
032106,20200331,BAKER HUGHES CO,20200422,37229.0000,654.7490,0001701605,BHI1
034443,20200331,DOW INC,20200430,60686.0000,740.7310,0001751788,DOWWI
035168,20200331,CORTEVA INC,20200506,42978.0000,748.3690,0001755672,CTVAW
060900,20200331,DISH NETWORK CORP,20200507,33673.2950,523.3530,0001001082,DISH
060979,20200331,WABTEC CORP,20200504,18773.1000,190.2780,0000943452,WAB1
061388,20200331,EVEREST RE GROUP LTD,20200506,27222.6380,39.9880,0001095073,PRUD
061483,20200331,DAVITA INC,20200505,17596.3000,121.8050,0000927066,TRL
061494,20200331,HENRY SCHEIN INC,20200505,7519.2000,142.4330,0001000228,HSIC
061574,20200331,WATERS CORP,20200428,2666.5180,61.8960,0001000697,WAT
061676,20200331,CITRIX SYSTEMS INC,20200423,4331.2270,123.0010,0000877890,CTXS
061739,20200331,HARTFORD FINANCIAL SERVICES,20200429,68724.0000,357.9340,0000874766,HIGW
062263,20200331,ALEXION PHARMACEUTICALS INC,20200506,18148.5000,221.1000,0000899866,ALXN
062374,20200331,IRON MOUNTAIN INC,20200507,13566.3360,287.8790,0001020569,IMTN
062689,20200331,TRAVELERS COS INC,20200421,109436.0000,252.8000,0000086312,STPL
063080,20200331,ANSYS INC,20200506,4526.0850,85.5860,0001013462,ANSS
063501,20200331,E TRADE FINANCIAL CORP,20200423,67856.0000,221.0320,0001015780,EGRP
063892,20200331,NOV INC,20200427,10690.0000,388.2230,0001021860,NOI
064166,20200331,QUEST DIAGNOSTICS INC,20200422,12049.0000,134.0000,0001022079,DGX
064768,20200331,AMAZON.COM INC,20200430,221238.0000,499.0000,0001018724,AMZN
064821,20200331,ALEXANDRIA R E EQUITIES INC,20200427,19701.9350,124.3260,0001035443,ARE1
064925,20200331,BOSTON PROPERTIES INC,20200428,21829.6980,155.3150,0001037540,BXP
065290,20200331,SL GREEN REALTY CORP,20200422,13220.6070,76.5360,0001040971,SLG
065417,20200331,YUM BRANDS INC,20200429,6085.0000,301.0000,0001041061,YUM
065609,20200331,C H ROBINSON WORLDWIDE INC,20200428,4848.3200,134.5860,0001043277,CHRW
065772,20200331,METTLER-TOLEDO INTL INC,20200507,2885.7800,23.9080,0001037646,MTD
066065,20200331,UNITED RENTALS INC,20200429,18868.0000,72.0480,0001067701,URI1
066368,20200331,VERISIGN INC,20200423,1753.8610,115.7010,0001014473,VRSN
066446,20200331,QUANTA SERVICES INC,20200507,8228.9440,137.6460,0001050915,PWR1
100873,20200331,NIELSEN HOLDINGS PLC,20200430,14193.0000,356.4760,0001492633,NLSN
104432,20200331,NORWEGIAN CRUISE LINE HLDGS,20200514,16462.5090,214.5250,0001513761,NCLH
105365,20200331,AMERICAN TOWER CORP,20200429,40789.1000,443.3320,0001053507,AMT2
110179,20200331,VENTAS INC,20200508,26617.8280,373.0720,0000740260,VCOR
111864,20200331,COGNIZANT TECH SOLUTIONS,20200507,17429.0000,541.0000,0001058290,CTSH
112168,20200331,REPUBLIC SERVICES INC,20200505,22908.9000,318.1000,0001060391,RSG
113490,20200331,CROWN CASTLE INTL CORP,20200429,38616.0000,417.0000,0001051470,TWRS
114524,20200331,EBAY INC,20200429,18929.0000,701.0000,0001065088,EBY1
114628,20200331,GOLDMAN SACHS GROUP INC,20200415,1089756.0000,355.7000,0000886982,GSG
118122,20200331,APTIV PLC,20200505,16167.0000,254.8540,0001521332,HPLD
119314,20200331,BOOKING HOLDINGS INC,20200507,17862.0000,40.9300,0001075531,PCLN
121382,20200331,SBA COMMUNICATIONS CORP,20200505,9359.5020,111.5590,0001034054,SBAC
121718,20200331,JUNIPER NETWORKS INC,20200428,8609.5000,331.0000,0001043604,JNPR
124434,20200331,BLACKROCK INC,20200416,149020.0000,155.0860,0001364742,BLKI
125595,20200331,AKAMAI TECHNOLOGIES INC,20200428,6947.9560,162.1770,0001086222,AKAM
126136,20200331,CHARTER COMMUNICATIONS INC,20200501,146552.0000,206.4580,0001091667,CCMM
126296,20200331,EXPEDIA GROUP INC,20200520,20417.0000,140.9770,0001324424,EXPE
128978,20200331,PACKAGING CORP OF AMERICA,20200427,7347.6000,94.8480,0000075677,PKG
